Description,Category
Transaction: Estate maintenance invoice (Auto Deducted),Management Service Charge
Online: Direct Line cover,Insurance
Transaction: ATM cash withdrawal,Cash withdrawal
BACS: Facilities upkeep bill - Thank you,Management Service Charge
BACS: Ebuyer mouse purchase,Computer Consumables
Faster Payments - Policy charge - Hiscox (Monthly),Insurance
Payment - Tax advisory fees (Monthly),Accountancy
Transaction: Monthly bank service fee (Ref: 8401),Bank Charges
Online: LegalZoom filing service - Thank you,Legal
AutoPay - Admin fee from bank,Bank Charges
Faster Payments - Fee for international transaction,Bank Charges
AutoPay - Barclays cash point,Cash withdrawal
Trademark filing fees,Legal
Transaction: Estate maintenance invoice,Management Service Charge
AutoPay - Landlord rent transfer,Rent
Standing order - office rent - Processed,Rent
AutoPay - Commercial property rent - Processed,Rent
Premises rental fee,Rent
AutoPay - Bulb energy payment,Light and Heat
Transaction: IT accessories (Monthly),Computer Consumables
BACS: Telephone services - BT - Thank you,Telephone
Faster Payments - USB-C hub from retailer,Computer Consumables
Online: Office rent payment (Ref: 8401),Rent
Online: ATM cash withdrawal (Ref: 8401),Cash withdrawal
Bookkeeping service fee,Accountancy
AutoPay - Professional accounting service (Auto Deducted),Accountancy
BACS: Smart meter top-up - Thank you,Light and Heat
Online: Employer liability policy (Monthly),Insurance
AutoPay - Building insurance cost (Ref: 8401),Insurance
Cash machine usage - Thank you,Cash withdrawal
BACS: Commercial property rent (Monthly),Rent
BACS: Three business mobile (Monthly),Telephone
Transaction: Cash machine usage (Auto Deducted),Cash withdrawal
Shared services charge (Ref: 8401),Management Service Charge
AutoPay - NPower standing charge,Light and Heat
Payment - Ebuyer mouse purchase,Computer Consumables
Payment - Quarterly CT600 tax,Corp Tax
Online: Office Depot keyboard - Thank you,Computer Consumables
BACS: AXA insurance premium (Ref: 8401),Insurance
Transaction: Building insurance cost (Monthly),Insurance
Payment - TalkTalk broadband payment (Monthly),Telephone
AutoPay - VOIP services invoice,Telephone
Online: CT advance payment (Auto Deducted),Corp Tax
ATM £100 taken,Cash withdrawal
JLL service cost (Monthly),Management Service Charge
Shared services charge (Ref: 8401),Management Service Charge
AXA insurance premium,Insurance
AutoPay - Bank account standing fee,Bank Charges
Online: Cashpoint fee,Cash withdrawal
Monthly maintenance service - Thank you,Management Service Charge
Payment - LegalZoom filing service (Auto Deducted),Legal
Payment - Building lease monthly - Thank you,Rent
Payment - Cashpoint fee (Ref: 8401),Cash withdrawal
Faster Payments - Telephone services - BT - Processed,Telephone
AutoPay - Transaction charge - HSBC (Ref: 8401),Bank Charges
AutoPay - Policy charge - Hiscox (Ref: 8401),Insurance
BACS: Lloyds bank withdrawal,Cash withdrawal
Faster Payments - Professional accounting service (Ref: 8401),Accountancy
AutoPay - Tax advisory fees (Ref: 8401),Accountancy
Faster Payments - Commercial policy - Aviva (Monthly),Insurance
Online: Annual accounts by CPA (Auto Deducted),Accountancy
Online: Bank counter cash issue (Monthly),Cash withdrawal
Faster Payments - ATM £100 taken - Processed,Cash withdrawal
Faster Payments - LegalZoom filing service (Monthly),Legal
Quarterly CT600 tax (Monthly),Corp Tax
AutoPay - AXA insurance premium - Processed,Insurance
Monthly maintenance service (Auto Deducted),Management Service Charge
Transaction: Building lease monthly - Processed,Rent
Payment - Annual insurance renewal (Auto Deducted),Insurance
BACS: End-year tax settlement,Corp Tax
Payment - Company law consultation - Thank you,Legal
AutoPay - Octopus gas supply,Light and Heat
Payment - Rent for business premises - Thank you,Rent
Payment - Financial statement preparation,Accountancy
Online: Overdraft usage fee (Auto Deducted),Bank Charges
BACS: Lawyer services,Legal
AutoPay - Quarterly CT600 tax,Corp Tax
BACS: NPower standing charge - Thank you,Light and Heat
Online: British Gas electricity bill,Light and Heat
BACS: Admin service fee,Management Service Charge
BACS: Lease on workspace - Thank you,Rent
