description,category
Standing Order to TFL on 30 Oct 2024,Travel
Standing Order to Wagamama on 05 May 2024,Food & Drink
Card Payment to Vodafone on 02 Jun 2024,Utilities
Transfer from BT Broadband on 19 May 2024,Utilities
Transfer from Aldi on 06 Nov 2024,Groceries
Transfer from Wagamama on 22 Feb 2025,Food & Drink
Transfer from iShares on 04 Aug 2023,Investment
Card Payment to Payroll Ltd on 25 Feb 2024,Income
Standing Order to Airbnb on 30 Jul 2024,Accommodation
Transfer from Wilko on 18 Jun 2024,Shopping
Faster Payment to Wagamama on 26 Oct 2024,Food & Drink
Direct Debit from PayPal on 24 Aug 2023,Transfer
Transfer from British Gas on 24 Jun 2024,Utilities
Faster Payment to EE on 09 Sep 2024,Utilities
Card Payment to Trainline on 03 Dec 2024,Travel
Transfer from EE on 23 Apr 2024,Utilities
Direct Debit from BT Broadband on 08 Sep 2023,Utilities
Direct Debit from Revolut on 25 Jul 2024,Transfer
Standing Order to Heathrow Express on 30 Aug 2024,Travel
Card Payment to Uber on 12 Apr 2024,Travel
Standing Order to Transferwise on 26 Jun 2024,Transfer
Standing Order to Trainline on 22 Jun 2024,Travel
Transfer from Costa Coffee on 10 Apr 2024,Food & Drink
Transfer from TFL on 31 May 2024,Travel
Card Payment to Vodafone on 11 Jan 2025,Utilities
Standing Order to Heathrow Express on 23 Feb 2024,Travel
Transfer from Direct Line on 14 Mar 2025,Insurance
Card Payment to IKEA on 17 Feb 2025,Shopping
Direct Debit from John Lewis on 24 Oct 2024,Shopping
Transfer from Heathrow Express on 19 Apr 2024,Travel
Standing Order to McDonald's on 19 Jan 2024,Food & Drink
Transfer from Netflix on 25 Jul 2023,Entertainment
Card Payment to Vanguard on 11 Jan 2024,Investment
Standing Order to Thames Water on 13 Jan 2024,Utilities
Faster Payment to Holland & Barrett on 14 May 2024,Health & Beauty
Transfer from YouTube Premium on 21 Mar 2024,Entertainment
Transfer from Vanguard on 30 Jul 2023,Investment
Direct Debit from Holland & Barrett on 07 Apr 2025,Health & Beauty
Faster Payment to Vanguard on 29 Jan 2025,Investment
Standing Order to EasyJet on 22 Jul 2023,Travel
Transfer from EE on 04 Apr 2024,Utilities
Transfer from HMRC Refund on 28 Jan 2025,Income
Faster Payment to Spotify on 01 Dec 2024,Entertainment
Transfer from YouTube Premium on 30 Jan 2024,Entertainment
Faster Payment to British Gas on 13 Apr 2025,Utilities
Standing Order to Thames Water on 08 Dec 2024,Utilities
Card Payment to YouTube Premium on 06 Apr 2025,Entertainment
Standing Order to YouTube Premium on 02 Jul 2024,Entertainment
Direct Debit from Sainsbury's on 29 Mar 2025,Groceries
Direct Debit from Spotify on 01 Aug 2023,Entertainment
Faster Payment to IKEA on 07 Nov 2024,Shopping
Faster Payment to AXA UK on 27 Aug 2023,Insurance
Card Payment to HMRC Refund on 05 Nov 2024,Income
Card Payment to EasyJet on 30 Jan 2025,Travel
Standing Order to YouTube Premium on 13 Feb 2025,Entertainment
Card Payment to Barclays Interest on 08 Dec 2024,Income
Direct Debit from AXA UK on 12 Dec 2023,Insurance
Direct Debit from Revolut on 28 Jun 2023,Transfer
Direct Debit from McDonald's on 25 Sep 2023,Food & Drink
Standing Order to BT Broadband on 21 Mar 2025,Utilities
Transfer from Spotify on 07 Jul 2024,Entertainment
Card Payment to Wagamama on 13 Aug 2024,Food & Drink
Transfer from HMRC Refund on 11 Jul 2024,Income
Standing Order to Pret A Manger on 14 Oct 2024,Food & Drink
Direct Debit from Holland & Barrett on 30 Jun 2023,Health & Beauty
Transfer from Superdrug on 22 Apr 2024,Health & Beauty
Transfer from Holland & Barrett on 19 Mar 2024,Health & Beauty
Direct Debit from Boots UK on 18 Jul 2024,Health & Beauty
Direct Debit from Airbnb on 30 Dec 2024,Accommodation
Card Payment to eBay on 19 Dec 2024,Shopping
Direct Debit from Costa Coffee on 20 Jan 2024,Food & Drink
Transfer from TFL on 12 Feb 2025,Travel
Standing Order to Pret A Manger on 25 Sep 2023,Food & Drink
Transfer from EE on 29 May 2025,Utilities
Card Payment to Lidl on 29 Sep 2023,Groceries
Standing Order to HMRC Refund on 06 Oct 2024,Income
Standing Order to Superdrug on 07 Apr 2025,Health & Beauty
Faster Payment to Direct Line on 04 Apr 2025,Insurance
Standing Order to Direct Line on 03 Jan 2024,Insurance
Standing Order to HMRC Refund on 30 Jan 2024,Income
Transfer from Wilko on 22 Nov 2023,Shopping
Standing Order to Superdrug on 09 Sep 2024,Health & Beauty
Card Payment to Asda on 11 Oct 2024,Groceries
Card Payment to YouTube Premium on 23 Jan 2025,Entertainment
Faster Payment to YouTube Premium on 29 Feb 2024,Entertainment
Standing Order to Pret A Manger on 01 Nov 2024,Food & Drink
Faster Payment to TFL on 13 Aug 2024,Travel
Transfer from Lidl on 08 Sep 2024,Groceries
Direct Debit from IKEA on 30 Sep 2023,Shopping
Standing Order to Currys PC World on 05 May 2025,Technology
Direct Debit from Greggs on 05 Apr 2025,Food & Drink
Direct Debit from HMRC Refund on 23 Feb 2025,Income
Transfer from Revolut on 16 Oct 2024,Transfer
Faster Payment to Hargreaves Lansdown on 23 Jan 2024,Investment
Card Payment to McDonald's on 05 Jun 2024,Food & Drink
Direct Debit from Google Storage on 08 Aug 2023,Technology
Direct Debit from Thames Water on 11 Jul 2024,Utilities
Card Payment to Airbnb on 03 Aug 2023,Accommodation
Direct Debit from iShares on 30 Sep 2023,Investment
Faster Payment to eBay on 07 May 2024,Shopping
Standing Order to Trainline on 11 Sep 2024,Travel
Direct Debit from Pret A Manger on 18 May 2024,Food & Drink
Standing Order to PayPal on 18 Feb 2025,Transfer
Card Payment to Costa Coffee on 14 Jul 2023,Food & Drink
Direct Debit from Uber on 05 Oct 2024,Travel
Card Payment to AXA UK on 14 Jul 2024,Insurance
Faster Payment to BT Broadband on 13 Jun 2024,Utilities
Card Payment to Thames Water on 11 Jul 2024,Utilities
Transfer from IKEA on 02 Nov 2023,Shopping
Card Payment to Revolut on 08 Mar 2024,Transfer
Faster Payment to AXA UK on 05 Feb 2024,Insurance
Faster Payment to YouTube Premium on 14 May 2024,Entertainment
Card Payment to Hargreaves Lansdown on 22 Jul 2024,Investment
Faster Payment to Premier Inn on 05 Feb 2024,Accommodation
Card Payment to Google Storage on 16 Feb 2025,Technology
Transfer from Apple.com/Bill on 01 Nov 2024,Technology
Faster Payment to Vodafone on 08 Dec 2023,Utilities
Transfer from Barclays Interest on 30 May 2025,Income
Card Payment to Barclays Interest on 17 Jun 2024,Income
Standing Order to Microsoft 365 on 14 Oct 2024,Technology
Direct Debit from PayPal on 25 Oct 2024,Transfer
Standing Order to Hargreaves Lansdown on 19 May 2025,Investment
Standing Order to Travelodge on 03 Apr 2024,Accommodation
Card Payment to Pret A Manger on 22 Nov 2024,Food & Drink
Direct Debit from Wilko on 28 Dec 2023,Shopping
Standing Order to McDonald's on 06 Jun 2023,Food & Drink
Standing Order to Revolut on 13 Mar 2025,Transfer
Direct Debit from Heathrow Express on 05 Oct 2023,Travel
Transfer from Wagamama on 10 Apr 2025,Food & Drink
Standing Order to Microsoft 365 on 23 Feb 2025,Technology
Transfer from Revolut on 23 Mar 2024,Transfer
Card Payment to Barclays Interest on 26 Nov 2024,Income
Card Payment to Spotify on 26 Jun 2023,Entertainment
Standing Order to Currys PC World on 09 Dec 2023,Technology
Direct Debit from Direct Line on 21 Oct 2024,Insurance
Transfer from AXA UK on 14 Feb 2025,Insurance
Standing Order to Google Storage on 21 Dec 2023,Technology
Direct Debit from Superdrug on 12 Aug 2023,Health & Beauty
Direct Debit from YouTube Premium on 21 Sep 2024,Entertainment
Direct Debit from Trainline on 18 Sep 2023,Travel
Transfer from British Gas on 14 Jun 2024,Utilities
Direct Debit from Vodafone on 26 Nov 2024,Utilities
Standing Order to Airbnb on 09 Aug 2023,Accommodation
Transfer from Barclays Interest on 23 Sep 2024,Income
Card Payment to Transferwise on 06 Sep 2024,Transfer
Transfer from Sainsbury's on 04 Jul 2023,Groceries
Faster Payment to TFL on 16 Oct 2023,Travel
Faster Payment to Microsoft 365 on 10 May 2024,Technology
Direct Debit from EE on 09 Dec 2023,Utilities
Card Payment to BT Broadband on 03 Aug 2024,Utilities
Faster Payment to Direct Line on 22 Dec 2023,Insurance
Faster Payment to IKEA on 20 Jul 2023,Shopping
Standing Order to Premier Inn on 14 Apr 2025,Accommodation
Transfer from BT Broadband on 03 Jun 2025,Utilities
Card Payment to Costa Coffee on 25 Nov 2023,Food & Drink
Faster Payment to Revolut on 21 Sep 2024,Transfer
Standing Order to Trainline on 02 Nov 2023,Travel
Card Payment to Boots UK on 08 Aug 2023,Health & Beauty
Card Payment to Netflix on 10 Oct 2023,Entertainment
Standing Order to Heathrow Express on 14 Jun 2024,Travel
Card Payment to Netflix on 29 Nov 2024,Entertainment
Standing Order to Wagamama on 10 Jul 2023,Food & Drink
Faster Payment to Asda on 21 Jul 2023,Groceries
Faster Payment to Boots UK on 30 Jul 2024,Health & Beauty
Faster Payment to Revolut on 13 Oct 2023,Transfer
Standing Order to Superdrug on 18 Jun 2023,Health & Beauty
Card Payment to PayPal on 24 Apr 2024,Transfer
Card Payment to Disney Plus on 16 Jun 2024,Entertainment
Transfer from McDonald's on 02 Dec 2024,Food & Drink
Faster Payment to John Lewis on 18 Sep 2023,Shopping
Standing Order to Wilko on 01 Jul 2024,Shopping
Standing Order to Travelodge on 15 Mar 2024,Accommodation
Direct Debit from Premier Inn on 31 Oct 2023,Accommodation
Standing Order to Spotify on 16 Mar 2025,Entertainment
Card Payment to TFL on 02 Jan 2025,Travel
Direct Debit from Netflix on 10 May 2025,Entertainment
Transfer from Disney Plus on 07 May 2024,Entertainment
Faster Payment to Marks & Spencer on 01 Nov 2024,Groceries
Faster Payment to Holland & Barrett on 23 Aug 2023,Health & Beauty
Card Payment to Pret A Manger on 19 May 2025,Food & Drink
Standing Order to YouTube Premium on 01 Nov 2023,Entertainment
Card Payment to Hargreaves Lansdown on 19 Mar 2025,Investment
Standing Order to iShares on 28 Aug 2024,Investment
Card Payment to Barclays Interest on 30 Oct 2024,Income
Transfer from iShares on 31 May 2025,Investment
Standing Order to Premier Inn on 06 Aug 2023,Accommodation
Faster Payment to iShares on 07 Jun 2024,Investment
Standing Order to Starbucks on 28 Dec 2024,Food & Drink
Direct Debit from Uber on 23 Dec 2023,Travel
Card Payment to AXA UK on 16 Dec 2024,Insurance
Card Payment to AXA UK on 10 Nov 2023,Insurance
Card Payment to Netflix on 02 Jul 2024,Entertainment
Transfer from Aviva on 10 Jul 2023,Insurance
Faster Payment to Superdrug on 12 Sep 2023,Health & Beauty
Transfer from Sainsbury's on 10 Oct 2024,Groceries
Faster Payment to Spotify on 15 Apr 2025,Entertainment
Direct Debit from BT Broadband on 13 May 2024,Utilities
Faster Payment to Aldi on 27 Aug 2024,Groceries
Standing Order to Hargreaves Lansdown on 17 Jul 2023,Investment
Faster Payment to Trainline on 10 Jun 2023,Travel
Card Payment to Aviva on 02 Jan 2025,Insurance
Direct Debit from YouTube Premium on 24 May 2025,Entertainment
Faster Payment to iShares on 03 Aug 2023,Investment
Card Payment to Microsoft 365 on 08 Feb 2024,Technology
Standing Order to Spotify on 17 Aug 2024,Entertainment
