Date,Description,Amount,Type,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
2024-01-15,TESCO EXTRA LONDON,-45.67,Debit,tesco extra london,Groceries,100.0,tesco,True,,,
2024-01-15,SALARY PAYMENT ACME CORP,2850.0,Credit,salary acme corp,Uncategorised,48.24,costa coffee store,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-01-15,STARBUCKS OXFORD ST,-4.85,Debit,starbucks oxford st,Dining,100.0,starbucks,True,,,
2024-01-16,SHELL PETROL STATION,-52.3,Debit,shell petrol station,Fuel,100.0,shell,True,,,
2024-01-16,AMAZON PRIME VIDEO,-8.99,Debit,amazon prime video,Shopping,100.0,amazon,True,,,
2024-01-16,REFUND ZARA ONLINE RETURN,34.99,Credit,refund zara online return,Clothing,100.0,zara,True,,,
2024-01-17,TRAINLINE BOOKING REF 12345,-28.5,Debit,trainline booking,Travel,100.0,trainline,True,,,
2024-01-17,KFC PICCADILLY CIRCUS,-12.95,Debit,kfc piccadilly circus,Dining,100.0,kfc,True,,,
2024-01-18,SAINSBURY LOCAL BRANCH,-23.44,Debit,sainsbury local branch,Groceries,100.0,sainsbury,True,,,
2024-01-18,NETFLIX SUBSCRIPTION,-15.99,Debit,netflix subscription,Entertainment,100.0,netflix subscription,True,,,
2024-01-18,FREELANCE PAYMENT CLIENT ABC,450.0,Credit,freelance client abc,Uncategorised,51.95,internet bill,False,Utilities (51.95%),Utilities (51.19%),No Match (0.0%)
2024-01-19,UBER TRIP FROM HOME TO WORK,-18.75,Debit,uber trip from home to work,Travel,100.0,uber,True,,,
2024-01-19,COSTA COFFEE WATERLOO,-3.6,Debit,costa coffee waterloo,Dining,100.0,costa coffee,True,,,
2024-01-20,BP GARAGE FUEL,-48.22,Debit,bp garage fuel,Fuel,100.0,bp,True,,,
2024-01-20,ZARA OXFORD STREET,-89.99,Debit,zara oxford street,Clothing,100.0,zara,True,,,
2024-01-20,CASHBACK CREDIT CARD REWARDS,15.5,Credit,cashback card rewards,Uncategorised,46.32,asda express,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-01-21,DELIVEROO ORDER 987654,-22.85,Debit,deliveroo order,Dining,100.0,deliveroo,True,,,
2024-01-21,ASDA SUPERSTORE,-67.33,Debit,asda superstore,Groceries,100.0,asda,True,,,
2024-01-22,SPOTIFY PREMIUM,-9.99,Debit,spotify premium,Entertainment,100.0,spotify,True,,,
2024-01-22,MCDONALD'S TOTTENHAM COURT RD,-8.47,Debit,mcdonalds tottenham court rd,Dining,100.0,mcdonalds,True,,,
2024-01-22,EBAY SALE ELECTRONICS,125.0,Credit,ebay sale electronics,Uncategorised,61.96,electric bill,False,Utilities (61.96%),No Match (0.0%),No Match (0.0%)
2024-01-23,H&M REGENT STREET,-34.5,Debit,hm regent street,Clothing,100.0,hm,True,,,
2024-01-23,WAITROSE & PARTNERS,-41.28,Debit,waitrose partners,Groceries,100.0,waitrose,True,,,
2024-01-24,APPLE STORE COVENT GARDEN,-199.99,Debit,apple store covent garden,Electronics,100.0,apple,True,,,
2024-01-24,JUSTEAT ORDER FROM PIZZA HUT,-18.9,Debit,justeat order from pizza hut,Dining,100.0,justeat,True,,,
2024-01-24,REFUND APPLE STORE RETURN,45.99,Credit,refund apple store return,Electronics,100.0,apple,True,,,
2024-01-25,BOOTS PHARMACY KINGS CROSS,-15.67,Debit,boots pharmacy kings cross,Health,100.0,boots,True,,,
2024-01-25,IKEA WEMBLEY,-124.5,Debit,ikea wembley,Home Improvement,100.0,ikea,True,,,
2024-01-25,DIVIDEND PAYMENT STOCKS,89.25,Credit,dividend stocks,Uncategorised,55.84,dentist,False,Health (55.84%),Dining (55.7%),Home Improvement (52.8%)
2024-01-26,NATIONAL RAIL LONDON TO BIRMINGHAM,-65.0,Debit,national rail london to birmingham,Travel,100.0,national rail,True,,,
2024-01-26,GREGGS BAKER STREET,-5.2,Debit,greggs baker street,Dining,100.0,greggs,True,,,
