description,category
Direct Debit from RSPCA 4-8-2024,Charitable Donations
Faster Payment to Superdrug ref HDKA77082561596584,Health & Beauty
Dir3ct Lin3 #REF92789,Insurance
POS H0lland & Barr3tt GB,Health & Beauty
Monzo 2025-02-24,Transfer
POS M0nz0 GB,Transfer
TFL London 2025-03-21,Travel
m0nz0 - 0nlin3 purchas3,Transfer
Barclays Interest TRANSFER [3480],Income
Card Paym3nt t0 Vanguard UK 0n 2025-04-04,Investment
Faster Payment to eBay UK ref QKUX34591772103500,Shopping
Dropbox TRANSFER [5396],Technology
McDonald's #REF52764,Food & Drink
AIRBNB PAYMENT,Accommodation
Faster Payment to Direct Line ref RQUP45787105847150,Insurance
Card Payment to Trainline on 2025-03-01,Travel
Card Payment to Morrisons on 2025-05-26,Groceries
Airbnb 2025-05-09,Accommodation
POS Micr0s0ft 365 GB,Technology
POS Google Services GB,Technology
Holland & Barrett TRANSFER [5338],Health & Beauty
MICROSOFT 365 PAYMENT,Technology
Thames Water 2025-01-20,Utilities
Trav3l0dg3 TRANSFER [7160],Accommodation
Direct Debit from O2 UK 4-5-2024,Utilities
MICROSOFT 365 PAYMENT,Technology
mcdonald's - online purchase,Food & Drink
POS Micr0s0ft 365 GB,Technology
Card Payment to RSPCA on 2025-01-04,Charitable Donations
Vanguard UK #REF53656,Investment
EE Mobile #REF24614,Utilities
Faster Payment to Google Services ref JWXI27571897000769,Technology
appl3.c0m/bill - 0nlin3 purchas3,Technology
Vanguard UK 2025-03-01,Investment
PREMIER INN PAYMENT,Accommodation
Holland & Barrett TRANSFER [8550],Health & Beauty
POS Cancer Research UK GB,Charitable Donations
Faster Payment to McDonald's ref RTLY41953435004465,Food & Drink
airbnb - online purchase,Accommodation
Barclays Interest TRANSFER [7743],Income
Direct Debit from John Lewis 22-11-2024,Shopping
Trainline #REF69046,Travel
POS Costa Coffee GB,Food & Drink
Faster Payment to Holland & Barrett ref ZRFI32772281991123,Health & Beauty
AVIVA PAYMENT,Insurance
SAINSBURY'S LOCAL PAYMENT,Groceries
ASDA PAYMENT,Groceries
kfc - online purchase,Food & Drink
Fast3r Paym3nt t0 Amaz0n UK r3f RKSR40544972995985,Shopping
b00ts - 0nlin3 purchas3,Health & Beauty
Hargreaves Lansdown #REF48365,Investment
Direct Line TRANSFER [5240],Insurance
Card Paym3nt t0 Pr3mi3r Inn 0n 2025-01-13,Accommodation
RSPCA PAYMENT,Charitable Donations
Faster Payment to RSPCA ref MKSH00335175502545,Charitable Donations
Aviva #REF65311,Insurance
Card Payment to EE Mobile on 2025-06-03,Utilities
tfl london - online purchase,Travel
tham3s wat3r - 0nlin3 purchas3,Utilities
Direct Line #REF96888,Insurance
AVIVA PAYMENT,Insurance
POS Dropbox GB,Technology
AIRBNB PAYMENT,Accommodation
